"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000170365",440.567510182441,-1.01000993125502,0.142842305916527,-7.07080388246631,1.54038712045961e-12,1.49545916277954e-10,"SMAD1"
"ENSG00000188215",583.091058388238,0.683817650198268,0.0967307815736962,7.06928693300476,1.55731843453688e-12,1.50226673191472e-10,"DCUN1D3"
"ENSG00000143344",1081.29606808733,-1.06616719613536,0.151260971725176,-7.04852801073145,1.80820354865968e-12,1.7332432116741e-10,"RGL1"
"ENSG00000125848",184.725551712782,-2.47079665042759,0.351190699500681,-7.03548429369153,1.98570085553732e-12,1.89141128661086e-10,"FLRT3"
"ENSG00000183508",90.3052529349409,-2.50680827891419,0.356642667783396,-7.02890737806134,2.08157092547828e-12,1.97033697914804e-10,"FAM46C"
"ENSG00000171793",696.230481492342,1.63272253843744,0.23254891247566,7.02098548239107,2.20308748466924e-12,2.07240745064072e-10,"CTPS1"
"ENSG00000099204",852.738214777329,1.43267728472704,0.204555786042516,7.00384629760247,2.4902930918853e-12,2.32811659732117e-10,"ABLIM1"
"ENSG00000157152",39.3407229279849,2.76161007495718,0.394498569180283,7.0003044135127,2.55406954444418e-12,2.37309099696976e-10,"SYN2"
"ENSG00000084090",3687.6065632505,1.22208526224923,0.174603180337499,6.99921536301345,2.57399940432272e-12,2.37702566941876e-10,"STARD7"
"ENSG00000185813",542.652954959198,1.06734861242864,0.152573355915623,6.99564223401441,2.64046550580794e-12,2.42362727790674e-10,"PCYT2"
"ENSG00000108604",2187.2675915473,1.29453188966148,0.185089308414425,6.99409328799777,2.66979875824419e-12,2.43578928877159e-10,"SMARCD2"
"ENSG00000177674",764.474981069582,1.13597797847334,0.162660484067202,6.98373661548938,2.87430704132459e-12,2.60666946951263e-10,"AGTRAP"
"ENSG00000093167",2143.3476076315,0.693337107595995,0.0994380764112037,6.97255148750924,3.11243691349997e-12,2.80582482469983e-10,"LRRFIP2"
"ENSG00000173517",8182.69575723465,1.01731428610773,0.145958469877501,6.96988867423412,3.17191882772543e-12,2.84252725715395e-10,"PEAK1"
"ENSG00000108830",207.111531735843,-2.14987147170004,0.30877965589737,-6.96247771069022,3.34339509141215e-12,2.97857168584924e-10,"RND2"
"ENSG00000182197",5315.48796069254,-0.800350624708904,0.114965793727071,-6.96164136098553,3.3633083587548e-12,2.97878977154043e-10,"EXT1"
"ENSG00000143878",3361.81675955872,1.2144771829723,0.17461785664594,6.95505721064258,3.52418989904534e-12,3.10313116401405e-10,"RHOB"
"ENSG00000173221",1867.42208938398,1.05618667150212,0.152013029652073,6.94800093070653,3.70498560935351e-12,3.24346861581843e-10,"GLRX"
"ENSG00000071282",4091.27993782563,1.59568942548406,0.2299720704799,6.93862268646019,3.95941055722183e-12,3.44628005109912e-10,"LMCD1"
"ENSG00000145685",2024.86056126334,-1.17063317932953,0.168795608395487,-6.93521111394523,4.05614968076e-12,3.51030782372058e-10,"LHFPL2"
"ENSG00000105835",2566.88138382778,0.982053364120342,0.141906136097506,6.92044326712944,4.50232603204214e-12,3.87430271336808e-10,"NAMPT"
"ENSG00000136997",749.941478614152,0.863800275997749,0.125431865158016,6.88660951433317,5.71377777591666e-12,4.88899233990158e-10,"MYC"
"ENSG00000137801",94530.9109438694,1.86692408731962,0.27159151679944,6.87401473109437,6.24197580334585e-12,5.31093952481308e-10,"THBS1"
"ENSG00000137767",2380.7661405682,1.01730793062737,0.148292176879739,6.8601591266165,6.87838853802479e-12,5.81973153119471e-10,"SQOR"
"ENSG00000205208",599.124719980782,-1.36453430298971,0.199120967508932,-6.85279064309739,7.24230409285363e-12,6.09359419368157e-10,"C4orf46"
"ENSG00000163083",425.114876638656,3.66803116890166,0.53533248608429,6.85187479603867,7.28883392343594e-12,6.09886131328383e-10,"INHBB"
"ENSG00000165996",290.653293553978,1.06197712577245,0.155519923769226,6.82855996861411,8.57712156336904e-12,7.13739044380352e-10,"HACD1"
